Rank_Post_2020_Reg_Season,Team ,Win,Loss,Tie, W/L_PCT,PF,PA,Net Pts,Home,Road,Div,Pct,Conf,Pct,Non-Conf,Strk,Last 5
1,Kansas City Chiefs,14,2,0,0.875,473,362,111,36562,8 - 0 - 0,36560,0.667,36566,0.833,4 - 0 - 0,1L,36529
2,Buffalo Bills,13,3,0,0.813,501,375,126,36532,36562,6 - 0 - 0,1,36566,0.833,36528,6W,5 - 0 - 0
3,Green Bay Packers,13,3,0,0.813,509,369,140,36532,36562,36530,0.833,36566,0.833,36528,6W,5 - 0 - 0
4,New Orleans Saints,12,4,0,0.75,482,337,145,36562,36562,6 - 0 - 0,1,36566,0.833,36558,2W,36559
5,Pittsburgh Steelers,12,4,0,0.75,416,312,104,36532,36590,36560,0.667,36594,0.75,36528,1L,36617
6,Seattle Seahawks,12,4,0,0.75,459,371,88,36532,36590,36560,0.667,36594,0.75,36528,4W,36529
7,Baltimore Ravens,11,5,0,0.688,468,303,165,36590,36562,36560,0.667,36653,0.583,4 - 0 - 0,5W,5 - 0 - 0
8,Cleveland Browns,11,5,0,0.688,408,419,-11,36562,36590,36588,0.5,36653,0.583,4 - 0 - 0,1W,36559
9,Indianapolis Colts,11,5,0,0.688,451,362,89,36562,36590,36560,0.667,36653,0.583,4 - 0 - 0,1W,36529
10,Tampa Bay Buccaneers,11,5,0,0.688,492,355,137,36590,36562,36560,0.667,36624,0.667,36528,4W,36529
11,Tennessee Titans,11,5,0,0.688,491,439,52,36590,36562,36530,0.833,36624,0.667,36528,1W,36559
12,Los Angeles Rams,10,6,0,0.625,372,296,76,36562,36620,36588,0.5,36594,0.75,36586,1W,36559
13,Miami Dolphins,10,6,0,0.625,404,338,66,36590,36590,36588,0.5,36653,0.583,36528,1L,36559
14,Arizona Cardinals,8,8,0,0.5,410,367,43,36620,36620,36618,0.333,36683,0.5,36558,2L,36587
15,Chicago Bears,8,8,0,0.5,372,370,2,36649,36590,36618,0.333,36683,0.5,36558,1L,36559
16,Las Vegas Raiders,8,8,0,0.5,434,478,-44,36679,36562,36560,0.667,36683,0.5,36558,1W,36587
17,Los Angeles Chargers,7,9,0,0.438,384,426,-42,36620,36649,36588,0.5,36683,0.5,36586,4W,36529
18,Minnesota Vikings,7,9,0,0.438,430,475,-45,36649,36620,36560,0.667,36712,0.417,36558,1W,36587
19,New England Patriots,7,9,0,0.438,326,353,-27,36590,36679,36588,0.5,36683,0.5,36586,1W,36587
20,Washington Football Team,7,9,0,0.438,335,329,6,36649,36620,36560,0.667,36712,0.417,36558,1W,36559
21,Dallas Cowboys,6,10,0,0.375,395,473,-78,36620,36679,36618,0.333,36712,0.417,36586,1L,36559
22,New York Giants,6,10,0,0.375,280,357,-77,36649,36649,36560,0.667,36712,0.417,36586,1W,36587
23,San Francisco 49ers,6,10,0,0.375,376,390,-14,36708,36590,36588,0.5,36742,0.333,36558,1L,36617
24,Carolina Panthers,5,11,0,0.313,350,402,-52,36679,36649,36647,0.167,36742,0.333,36586,1L,36617
25,Denver Broncos,5,11,0,0.313,323,446,-123,36679,36649,36647,0.167,36742,0.333,36586,3L,36617
26,Detroit Lions,5,11,0,0.313,377,519,-142,36708,36620,36647,0.167,36742,0.333,36586,4L,36617
27,Cincinnati Bengals,4,11,1,0.281,311,424,-113,36649,37043,36647,0.167,36742,0.333,0 - 3 - 1,1L,36587
28,Philadelphia Eagles,4,11,1,0.281,334,418,-84,36984,36708,36618,0.333,36742,0.333,0 - 3 - 1,3L,36617
29,Atlanta Falcons,4,12,0,0.25,396,414,-18,36679,36679,36647,0.167,36801,0.167,36558,5L,0 - 5 - 0
30,Houston Texans,4,12,0,0.25,384,464,-80,36679,36679,36618,0.333,36772,0.25,36586,5L,0 - 5 - 0
31,New York Jets,2,14,0,0.125,243,457,-214,36708,36708,0 - 6 - 0,0,36831,0.083,36586,1L,36587
32,Jacksonville Jaguars,1,15,0,0.063,306,492,-186,36708,0 - 8 - 0,36647,0.167,36831,0.083,0 - 4 - 0,15L,0 - 5 - 0
